time,ax,ay,az,wx,wy,wz
2025-10-17T13:59:23.983Z,-0.9225,-5.5427,-7.3604,-2.3858,-1.0198,-1.7141
2025-10-17T13:59:23.995Z,-2.1328,-5.5785,-7.9193,-2.6056,-0.9407,-1.5650
2025-10-17T13:59:24.004Z,-3.5970,-5.8283,-8.5552,-2.8127,-0.9623,-1.3640
2025-10-17T13:59:24.014Z,-5.0976,-5.8348,-8.6774,-2.9637,-1.0399,-1.1911
2025-10-17T13:59:24.023Z,-6.0265,-5.6034,-8.1648,-2.9962,-1.1206,-1.0991
2025-10-17T13:59:24.033Z,-5.9388,-5.2499,-7.0179,-2.9326,-1.0680,-1.0568
2025-10-17T13:59:24.045Z,-5.3042,-5.1753,-5.7183,-2.8316,-0.7729,-0.9780
2025-10-17T13:59:24.054Z,-4.9452,-5.3938,-4.9483,-2.7262,-0.3379,-0.7750
2025-10-17T13:59:24.064Z,-5.0705,-5.3741,-4.5048,-2.6375,0.1023,-0.4730
2025-10-17T13:59:24.074Z,-5.5145,-5.1942,-4.6019,-2.5229,0.3373,-0.1710
2025-10-17T13:59:24.084Z,-6.3704,-5.1764,-4.4839,-2.3199,0.1043,0.0516
2025-10-17T13:59:24.095Z,-7.3567,-5.4312,-3.5126,-2.1210,-0.3610,0.1961
2025-10-17T13:59:24.104Z,-8.2561,-5.7890,-2.6804,-1.9626,-0.8365,0.3695
2025-10-17T13:59:24.114Z,-9.1453,-5.7497,-2.4777,-1.8371,-1.1973,0.6175
2025-10-17T13:59:24.124Z,-9.1683,-5.1262,-2.2460,-1.7374,-1.2705,0.8442
2025-10-17T13:59:24.134Z,-8.0566,-4.2806,-1.7361,-1.7260,-0.9924,0.9793
2025-10-17T13:59:24.145Z,-6.0044,-3.7873,-1.6567,-1.7542,-0.4860,1.0836
2025-10-17T13:59:24.155Z,-4.9023,-3.6277,-1.6715,-1.8370,0.0833,1.1685
2025-10-17T13:59:24.164Z,-4.6950,-3.3217,-1.4899,-1.9680,0.5442,1.2629
2025-10-17T13:59:24.173Z,-4.9991,-2.9974,-1.6754,-1.9680,0.5442,1.2629
2025-10-17T13:59:24.184Z,-5.7594,-2.7846,-1.6548,-2.2141,1.1700,1.4826
2025-10-17T13:59:24.192Z,-6.4126,-2.7869,-0.9376,-2.2141,1.1700,1.4826
2025-10-17T13:59:24.204Z,-6.6083,-3.0747,0.1804,-2.2677,1.4797,1.6289
2025-10-17T13:59:24.213Z,-6.6343,-3.3989,1.8673,-2.1647,1.5056,1.6129
2025-10-17T13:59:24.224Z,-6.4139,-3.6804,4.0405,-2.0539,1.6603,1.5321
2025-10-17T13:59:24.233Z,-5.8411,-4.1500,5.4263,-1.9392,1.9384,1.4958
2025-10-17T13:59:24.242Z,-5.5336,-4.4508,5.9053,-1.9392,1.9384,1.4958
2025-10-17T13:59:24.255Z,-5.8901,-4.3553,5.7945,-1.7486,2.4642,1.6789
2025-10-17T13:59:24.264Z,-6.4809,-4.0426,5.7007,-1.6006,2.5473,1.7895
2025-10-17T13:59:24.274Z,-6.5802,-3.5390,6.2155,-1.4191,2.6513,1.8410
2025-10-17T13:59:24.284Z,-6.1189,-2.8045,7.2146,-1.4191,2.6513,1.8410
2025-10-17T13:59:24.292Z,-5.3461,-2.4863,7.8504,-1.2015,2.9560,1.8493
2025-10-17T13:59:24.304Z,-4.5523,-2.4941,7.7326,-0.8079,3.6355,2.0207
2025-10-17T13:59:24.314Z,-4.4506,-2.0574,7.1953,-0.6292,4.0331,2.1776
2025-10-17T13:59:24.324Z,-4.8180,-1.5274,6.4172,-0.4838,4.5300,2.3255
2025-10-17T13:59:24.334Z,-4.7431,-1.2797,5.4214,-0.3391,5.1650,2.4816
2025-10-17T13:59:24.342Z,-4.5084,-1.1074,4.7544,-0.3391,5.1650,2.4816
2025-10-17T13:59:24.355Z,-4.3565,-0.9996,4.2119,-0.1536,6.4587,2.8891
2025-10-17T13:59:24.364Z,-4.3186,-0.7730,3.4402,-0.0523,7.0705,3.0554
2025-10-17T13:59:24.374Z,-4.3626,-0.5765,3.6075,0.0125,7.7499,3.1466
2025-10-17T13:59:24.384Z,-4.5726,-0.6964,3.3367,0.0590,8.4588,3.1675
2025-10-17T13:59:24.392Z,-4.8950,-1.0119,2.4388,0.0590,8.4588,3.1675
2025-10-17T13:59:24.404Z,-5.2267,-1.2648,1.9474,0.0613,9.5655,3.0167
2025-10-17T13:59:24.414Z,-5.7622,-0.9856,0.6553,0.0275,9.6103,2.8230
2025-10-17T13:59:24.424Z,-6.4022,0.2628,-0.4266,0.0788,9.3642,2.5377
2025-10-17T13:59:24.434Z,-7.5106,1.8743,-0.2981,0.2504,8.8509,2.1929
2025-10-17T13:59:24.442Z,-8.7764,2.9666,0.8653,0.2504,8.8509,2.1929
2025-10-17T13:59:24.455Z,-10.0305,3.2220,2.4898,0.7555,7.6971,1.8407
2025-10-17T13:59:24.462Z,-11.3201,2.6485,3.6121,0.7555,7.6971,1.8407
2025-10-17T13:59:24.473Z,-12.1282,1.8500,3.8677,1.0429,7.1753,2.0267
2025-10-17T13:59:24.484Z,-12.3087,1.6007,3.4084,1.4239,6.5119,2.6764
2025-10-17T13:59:24.492Z,-12.0057,2.0326,2.6293,1.4239,6.5119,2.6764
2025-10-17T13:59:24.504Z,-11.6292,3.0697,2.1256,1.5431,6.2163,3.1988
2025-10-17T13:59:24.513Z,-11.3500,4.5466,2.5553,1.5431,6.2163,3.1988
2025-10-17T13:59:24.524Z,-11.1948,5.9897,4.2370,1.5947,6.0410,3.5643
2025-10-17T13:59:24.533Z,-11.3414,6.9446,6.0892,1.5947,6.0410,3.5643
2025-10-17T13:59:24.542Z,-12.3431,7.1750,7.4347,1.5786,5.9378,3.8394
2025-10-17T13:59:24.553Z,-13.0640,6.9009,8.9605,1.5229,5.6860,4.2319
2025-10-17T13:59:24.562Z,-13.1844,6.6129,10.1818,1.4423,5.3738,4.6818
2025-10-17T13:59:24.573Z,-13.0062,6.5065,11.3460,1.3231,4.9307,5.1313
2025-10-17T13:59:24.583Z,-12.2374,6.6298,11.6186,1.1141,4.4766,5.5122
2025-10-17T13:59:24.592Z,-11.0542,6.8273,11.5478,0.8420,4.0731,5.8380
2025-10-17T13:59:24.603Z,-9.9608,6.9011,12.0185,0.5053,3.7606,6.1134
2025-10-17T13:59:24.613Z,-9.7176,6.7779,13.0023,0.1214,3.3133,6.3509
2025-10-17T13:59:24.623Z,-10.6973,6.3703,14.4526,-0.2691,2.9795,6.5299
2025-10-17T13:59:24.633Z,-12.0173,5.3345,15.7488,-0.6663,2.5321,6.5995
2025-10-17T13:59:24.642Z,-12.9286,3.5236,16.6035,-1.0952,1.8661,6.6232
2025-10-17T13:59:24.653Z,-14.0240,0.7303,16.6324,-1.5269,1.1402,6.6540
2025-10-17T13:59:24.663Z,-14.6708,-2.3810,15.9264,-1.9401,0.2919,6.6717
