time,ax,ay,az,wx,wy,wz
2025-10-16T15:36:09.844Z,-8.3549,1.0968,12.5758,3.9942,-0.4430,-1.7510
2025-10-16T15:36:09.854Z,-8.4872,1.1663,11.4299,4.2678,-0.5943,-1.5290
2025-10-16T15:36:09.864Z,-8.9207,1.1573,10.1516,4.4932,-0.7550,-1.2720
2025-10-16T15:36:09.874Z,-9.3650,1.2208,8.6959,4.6898,-0.9654,-0.9974
2025-10-16T15:36:09.884Z,-9.7210,1.3255,7.4428,4.8310,-1.2169,-0.7005
2025-10-16T15:36:09.894Z,-10.0631,1.2905,6.2763,4.9386,-1.4742,-0.4007
2025-10-16T15:36:09.904Z,-10.2494,1.1261,5.2774,5.0278,-1.7214,-0.1241
2025-10-16T15:36:09.914Z,-10.2089,0.9251,4.2814,5.1048,-1.9642,0.1106
2025-10-16T15:36:09.924Z,-10.1066,0.8389,3.2077,5.1807,-2.1765,0.3304
2025-10-16T15:36:09.933Z,-10.0703,0.8261,2.4442,5.2675,-2.3656,0.5548
2025-10-16T15:36:09.944Z,-10.1434,0.6003,1.7359,5.3406,-2.4627,0.7839
2025-10-16T15:36:09.954Z,-10.1952,0.2181,0.8011,5.4116,-2.5046,1.0123
2025-10-16T15:36:09.964Z,-10.1526,0.0507,-0.1287,5.4512,-2.5900,1.2284
2025-10-16T15:36:09.974Z,-10.0953,0.1752,-0.9020,5.4524,-2.7415,1.4284
2025-10-16T15:36:09.984Z,-9.9819,0.3226,-1.4960,5.4231,-2.9101,1.6085
2025-10-16T15:36:09.994Z,-9.6139,0.3542,-1.8607,5.3959,-3.0084,1.7606
2025-10-16T15:36:10.004Z,-9.0182,0.2139,-2.1046,5.3758,-2.9823,1.8699
2025-10-16T15:36:10.014Z,-8.5286,0.0131,-2.6230,5.3534,-2.9057,1.9609
2025-10-16T15:36:10.024Z,-8.0387,-0.0095,-2.8537,5.3378,-2.7918,2.0210
2025-10-16T15:36:10.034Z,-7.3496,-0.1668,-2.9450,5.3267,-2.5924,2.0346
2025-10-16T15:36:10.044Z,-6.5850,-0.6091,-2.9559,5.2943,-2.3699,2.0083
2025-10-16T15:36:10.054Z,-5.7459,-1.1031,-2.8921,5.2449,-2.0424,1.9522
2025-10-16T15:36:10.064Z,-5.0561,-1.5830,-2.9290,5.1800,-1.5957,1.8838
2025-10-16T15:36:10.074Z,-4.3865,-2.0941,-2.9907,5.1038,-1.1050,1.8051
2025-10-16T15:36:10.084Z,-3.7036,-2.5648,-2.9756,5.0059,-0.6209,1.7272
